2026-05-17 00:25:30,971 | INFO     | train | MLflow logging selesai. Run ID: 3041f48efcf94e03a564d117284c6a03
2026-05-17 00:25:30,989 | INFO     | train | =======================================================
2026-05-17 00:25:30,989 | INFO     | train |   RINGKASAN HASIL TRAINING
2026-05-17 00:25:30,989 | INFO     | train | =======================================================
2026-05-17 00:25:30,992 | INFO     | train |   Dataset             : 10883 komentar
2026-05-17 00:25:30,994 | INFO     | train |   Akurasi Test Set    : 96.37%
2026-05-17 00:25:30,995 | INFO     | train |   F1-Score (weighted) : 96.37%
2026-05-17 00:25:31,000 | INFO     | train |   CV Mean Accuracy    : 96.01% ± 0.58%
2026-05-17 00:25:31,000 | INFO     | train |   Output folder       : d:\freecodecamp\mbg_project\output
2026-05-17 00:25:31,000 | INFO     | train |   Model folder        : d:\freecodecamp\mbg_project\models
2026-05-17 00:25:31,000 | INFO     | train |   MLflow UI           : jalankan 'mlflow ui' lalu buka http://localhost:5000
2026-05-17 00:25:31,000 | INFO     | train | =======================================================
2026-05-17 00:25:31,000 | INFO     | train |   ✅ TRAINING SELESAI!
2026-05-17 00:25:31,009 | INFO     | train | =======================================================
2026-05-18 22:04:49,027 | INFO     | train | =======================================================
2026-05-18 22:04:49,028 | INFO     | train | STEP 1: MEMUAT DATASET
2026-05-18 22:04:49,028 | INFO     | train | =======================================================
2026-05-18 22:04:49,076 | INFO     | train | Data dimuat: 10999 baris, 5 kolom
2026-05-18 22:04:49,103 | INFO     | train | Dataset final: 10998 baris
2026-05-18 22:04:49,104 | INFO     | train | STEP 2: EXPLORATORY DATA ANALYSIS
2026-05-18 22:04:49,104 | INFO     | train |   Rata-rata panjang  : 116.5 karakter
2026-05-18 22:04:49,105 | INFO     | train |   Rata-rata kata     : 17.9 kata
2026-05-18 22:04:49,105 | INFO     | train |   Komentar terpanjang: 3579 karakter
2026-05-18 22:04:49,105 | INFO     | train |   Like count max     : 2431
2026-05-18 22:04:49,106 | INFO     | train | Membuat grafik EDA ...
2026-05-18 22:04:49,759 | INFO     | train | STEP 3: PREPROCESSING ...
2026-05-18 22:04:49,859 | INFO     | src.preprocessor | Preprocessor siap. Stopword: 144 kata, Stemmer: Sastrawi
2026-05-18 22:09:23,574 | INFO     | train | =======================================================
2026-05-18 22:09:23,576 | INFO     | train | STEP 1: MEMUAT DATASET
2026-05-18 22:09:23,576 | INFO     | train | =======================================================
2026-05-18 22:09:23,621 | INFO     | train | Data dimuat: 10999 baris, 5 kolom
2026-05-18 22:09:23,649 | INFO     | train | Dataset final: 10998 baris
2026-05-18 22:09:23,649 | INFO     | train | STEP 2: EXPLORATORY DATA ANALYSIS
2026-05-18 22:09:23,649 | INFO     | train |   Rata-rata panjang  : 116.5 karakter
2026-05-18 22:09:23,650 | INFO     | train |   Rata-rata kata     : 17.9 kata
2026-05-18 22:09:23,650 | INFO     | train |   Komentar terpanjang: 3579 karakter
2026-05-18 22:09:23,650 | INFO     | train |   Like count max     : 2431
2026-05-18 22:09:23,651 | INFO     | train | Membuat grafik EDA ...
2026-05-18 22:09:24,211 | INFO     | train | STEP 3: PREPROCESSING ...
2026-05-18 22:09:24,287 | INFO     | src.preprocessor | Preprocessor siap. Stopword: 144 kata, Stemmer: Sastrawi
2026-05-18 22:13:32,578 | INFO     | src.preprocessor | Preprocessing: 1000/10998 selesai
2026-05-18 22:18:05,545 | INFO     | src.preprocessor | Preprocessing: 2000/10998 selesai
2026-05-18 22:21:40,791 | INFO     | src.preprocessor | Preprocessing: 3000/10998 selesai
2026-05-18 22:24:38,670 | INFO     | src.preprocessor | Preprocessing: 4000/10998 selesai
2026-05-18 22:27:25,138 | INFO     | src.preprocessor | Preprocessing: 5000/10998 selesai
2026-05-18 22:29:51,427 | INFO     | src.preprocessor | Preprocessing: 6000/10998 selesai
2026-05-18 22:32:16,764 | INFO     | src.preprocessor | Preprocessing: 7000/10998 selesai
2026-05-18 22:34:01,305 | INFO     | src.preprocessor | Preprocessing: 8000/10998 selesai
2026-05-18 22:35:32,355 | INFO     | src.preprocessor | Preprocessing: 9000/10998 selesai
2026-05-18 22:37:18,695 | INFO     | src.preprocessor | Preprocessing: 10000/10998 selesai
2026-05-18 22:38:43,192 | INFO     | src.preprocessor | Preprocessing selesai: 10998 teks diproses
2026-05-18 22:38:43,428 | INFO     | train | Preprocessing selesai (1759.2s). Sisa data: 10883 baris
2026-05-18 22:38:43,429 | INFO     | train | STEP 4: PELABELAN SENTIMEN & ASPEK ...
2026-05-18 22:38:43,430 | INFO     | src.labeler | Memulai pelabelan sentimen & aspek ...
2026-05-18 22:38:43,626 | INFO     | src.labeler | Distribusi sentimen: {'netral': 4250, 'positif': 3900, 'negatif': 2733}
2026-05-18 22:38:43,627 | INFO     | src.labeler | Distribusi aspek: {'kualitas_makanan': 4861, 'umum': 3320, 'anggaran': 1075, 'program': 945, 'guru_sekolah': 665, 'distribusi': 17}
2026-05-18 22:38:43,628 | INFO     | train | Membuat grafik distribusi label ...
2026-05-18 22:38:44,340 | INFO     | train | Membuat grafik ABSA ...
2026-05-18 22:38:45,008 | INFO     | train | Distribusi sentimen: {'netral': 4250, 'positif': 3900, 'negatif': 2733}
2026-05-18 22:45:57,961 | WARNING  | train | Auto-detect sep failed: 'charmap' codec can't decode byte 0x8f in position 4384: character maps to <undefined> — falling back and skipping bad lines.
2026-05-18 23:29:47,855 | INFO     | train | Logging aktif → d:\freecodecamp\mbg_project\logs\train.log
2026-05-19 22:35:26,036 | INFO     | train | Logging aktif → d:\freecodecamp\mbg_project\logs\train.log
2026-05-19 22:35:38,512 | INFO     | train | Data dimuat: 10999 baris, 5 kolom
2026-05-19 22:35:38,563 | INFO     | train | Dataset final: 10998 baris
2026-05-19 22:35:46,780 | INFO     | train | STEP 2: EXPLORATORY DATA ANALYSIS
2026-05-19 22:35:46,782 | INFO     | train |   Rata-rata panjang  : 116.5 karakter
2026-05-19 22:35:46,784 | INFO     | train |   Rata-rata kata     : 17.9 kata
2026-05-19 22:35:46,785 | INFO     | train |   Komentar terpanjang: 3579 karakter
2026-05-19 22:35:46,787 | INFO     | train |   Like count max     : 2431
2026-05-19 22:35:46,787 | INFO     | train | Membuat grafik EDA ...
2026-05-19 22:35:50,641 | INFO     | train | STEP 3: PREPROCESSING ...
2026-05-19 22:35:50,796 | INFO     | src.preprocessor | Preprocessor siap. Stopword: 827 kata, Stemmer: Sastrawi
2026-05-19 22:35:51,522 | INFO     | src.preprocessor | Preprocessing: 1000/10998 selesai
2026-05-19 22:35:52,151 | INFO     | src.preprocessor | Preprocessing: 2000/10998 selesai
2026-05-19 22:35:52,631 | INFO     | src.preprocessor | Preprocessing: 3000/10998 selesai
2026-05-19 22:35:53,045 | INFO     | src.preprocessor | Preprocessing: 4000/10998 selesai
2026-05-19 22:35:53,410 | INFO     | src.preprocessor | Preprocessing: 5000/10998 selesai
2026-05-19 22:35:53,780 | INFO     | src.preprocessor | Preprocessing: 6000/10998 selesai
2026-05-19 22:35:54,173 | INFO     | src.preprocessor | Preprocessing: 7000/10998 selesai
2026-05-19 22:35:54,491 | INFO     | src.preprocessor | Preprocessing: 8000/10998 selesai
2026-05-19 22:35:54,825 | INFO     | src.preprocessor | Preprocessing: 9000/10998 selesai
2026-05-19 22:35:55,187 | INFO     | src.preprocessor | Preprocessing: 10000/10998 selesai
2026-05-19 22:35:55,439 | INFO     | src.preprocessor | Preprocessing selesai: 10998 teks diproses
2026-05-19 22:35:55,465 | INFO     | train | Preprocessing selesai (4.8s). Sisa data: 10848 baris
2026-05-19 22:38:10,975 | INFO     | train | STEP 4: PELABELAN SENTIMEN & ASPEK ...
2026-05-19 22:38:10,978 | INFO     | src.labeler | Memulai pelabelan sentimen & aspek ...
2026-05-19 22:38:11,154 | INFO     | src.labeler | Distribusi sentimen: {'netral': 4343, 'positif': 3658, 'negatif': 2847}
2026-05-19 22:38:11,155 | INFO     | src.labeler | Distribusi aspek: {'kualitas_makanan': 4851, 'umum': 3306, 'anggaran': 1084, 'program': 931, 'guru_sekolah': 667, 'distribusi': 9}
2026-05-19 22:38:11,158 | INFO     | train | Distribusi sentimen: {'netral': 4343, 'positif': 3658, 'negatif': 2847}
2026-05-19 22:38:11,159 | INFO     | train | Membuat grafik distribusi label ...
2026-05-19 22:38:11,688 | INFO     | train | Membuat grafik ABSA ...
2026-05-19 22:38:19,605 | INFO     | train | STEP 5: REKAYASA FITUR ...
2026-05-19 22:38:19,607 | INFO     | src.feature_engineering | Membangun fitur training ...
2026-05-19 22:38:20,478 | INFO     | src.feature_engineering | TF-IDF shape: (10848, 6000)
2026-05-19 22:38:25,748 | INFO     | src.feature_engineering | Total fitur gabungan: 6012
2026-05-19 22:38:25,788 | INFO     | src.feature_engineering | Kelas label: ['negatif', 'netral', 'positif']
2026-05-19 22:38:25,915 | INFO     | train | Matriks fitur: (10848, 6012)
2026-05-19 22:38:33,080 | INFO     | train | STEP 6: TRAIN-TEST SPLIT + SMOTE ...
2026-05-19 22:38:43,037 | INFO     | train | Data train setelah SMOTE: 10422 baris
2026-05-19 22:38:43,064 | INFO     | train | Distribusi kelas: {'positif': 3474, 'netral': 3474, 'negatif': 3474}
2026-05-19 22:38:43,112 | INFO     | train | STEP 7: TRAINING ATTENTION-ENHANCED XGBOOST ...
2026-05-19 22:38:43,114 | INFO     | train | Parameter XGBoost: {'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.08, 'subsample': 0.85, 'colsample_bytree': 0.75, 'min_child_weight': 3, 'gamma': 0.1, 'reg_alpha': 0.1, 'reg_lambda': 1.5, 'eval_metric': 'mlogloss', 'random_state': 42, 'n_jobs': 1, 'tree_method': 'hist'}
2026-05-19 22:50:40,073 | INFO     | train | Training selesai dalam 716.9 detik
2026-05-19 22:50:40,445 | INFO     | train | STEP 8: EVALUASI MODEL ...
2026-05-19 22:50:41,277 | INFO     | train | Cross-Validation (5 fold) ...
2026-05-19 23:08:27,681 | INFO     | train | CV Accuracy: 96.14% ± 0.90%
2026-05-19 23:08:27,718 | INFO     | train | Membuat grafik evaluasi ...
2026-05-19 23:08:29,912 | INFO     | train | Membuat WordCloud ...
2026-05-19 23:08:36,150 | INFO     | train | STEP 9: MENYIMPAN MODEL & ARTEFAK ...
2026-05-19 23:08:36,261 | INFO     | src.feature_engineering | FeatureBuilder disimpan → d:\freecodecamp\mbg_project\models\feature_builder.pkl
2026-05-19 23:08:36,378 | INFO     | train | Model disimpan → d:\freecodecamp\mbg_project\models\xgboost_model.json
2026-05-19 23:08:36,379 | INFO     | train | Hasil CSV     → d:\freecodecamp\mbg_project\output\hasil_sentimen_absa.csv
2026-05-22 23:48:45,953 | INFO     | train | Logging aktif → d:\freecodecamp\mbg_project\logs\train.log
2026-05-22 23:50:45,761 | INFO     | train | Data dimuat: 10999 baris, 5 kolom
2026-05-22 23:50:45,801 | INFO     | train | Dataset final: 10998 baris
2026-05-22 23:53:39,931 | INFO     | train | STEP 2: EXPLORATORY DATA ANALYSIS
2026-05-22 23:53:39,984 | INFO     | train |   Rata-rata panjang  : 116.5 karakter
2026-05-22 23:53:40,000 | INFO     | train |   Rata-rata kata     : 17.9 kata
2026-05-22 23:53:40,004 | INFO     | train |   Komentar terpanjang: 3579 karakter
2026-05-22 23:53:40,009 | INFO     | train |   Like count max     : 2431
2026-05-22 23:53:40,011 | INFO     | train | Membuat grafik EDA ...
2026-05-22 23:53:44,796 | INFO     | train | STEP 3: PREPROCESSING ...
2026-05-22 23:53:45,056 | INFO     | src.preprocessor | Preprocessor siap. Stopword: 827 kata, Stemmer: Sastrawi
2026-05-22 23:53:45,729 | INFO     | src.preprocessor | Preprocessing: 1000/10998 selesai
2026-05-22 23:53:46,224 | INFO     | src.preprocessor | Preprocessing: 2000/10998 selesai
2026-05-22 23:53:46,645 | INFO     | src.preprocessor | Preprocessing: 3000/10998 selesai
2026-05-22 23:53:47,012 | INFO     | src.preprocessor | Preprocessing: 4000/10998 selesai
2026-05-22 23:53:47,378 | INFO     | src.preprocessor | Preprocessing: 5000/10998 selesai
2026-05-22 23:53:47,670 | INFO     | src.preprocessor | Preprocessing: 6000/10998 selesai
2026-05-22 23:53:48,019 | INFO     | src.preprocessor | Preprocessing: 7000/10998 selesai
2026-05-22 23:53:48,341 | INFO     | src.preprocessor | Preprocessing: 8000/10998 selesai
2026-05-22 23:53:48,641 | INFO     | src.preprocessor | Preprocessing: 9000/10998 selesai
2026-05-22 23:53:48,965 | INFO     | src.preprocessor | Preprocessing: 10000/10998 selesai
2026-05-22 23:53:49,239 | INFO     | src.preprocessor | Preprocessing selesai: 10998 teks diproses
2026-05-22 23:53:49,294 | INFO     | train | Preprocessing selesai (4.5s). Sisa data: 10848 baris
2026-05-22 23:54:23,683 | INFO     | train | STEP 4: PELABELAN SENTIMEN & ASPEK ...
2026-05-22 23:54:23,685 | INFO     | src.labeler | Memulai pelabelan sentimen & aspek ...
2026-05-22 23:54:23,819 | INFO     | src.labeler | Distribusi sentimen: {'netral': 4343, 'positif': 3658, 'negatif': 2847}
2026-05-22 23:54:23,821 | INFO     | src.labeler | Distribusi aspek: {'kualitas_makanan': 4851, 'umum': 3306, 'anggaran': 1084, 'program': 931, 'guru_sekolah': 667, 'distribusi': 9}
